dt,open,high,low,close,volume
2021-06-13,4.161e-05,4.2e-05,3.896e-05,3.989e-05,38632773.0
2021-06-14,3.989e-05,4.012e-05,3.83e-05,3.889e-05,36426555.0
2021-06-15,3.891e-05,3.997e-05,3.834e-05,3.874e-05,27006100.0
2021-06-16,3.874e-05,3.926e-05,3.841e-05,3.873e-05,19465763.0
2021-06-17,3.872e-05,3.948e-05,3.84e-05,3.892e-05,19573879.0
2021-06-18,3.893e-05,3.971e-05,3.85e-05,3.955e-05,24063815.0
2021-06-19,3.955e-05,4.039e-05,3.9e-05,3.901e-05,19333085.0
2021-06-20,3.901e-05,4.089e-05,3.886e-05,4.006e-05,32724919.0
2021-06-21,4.006e-05,4.067e-05,3.702e-05,3.712e-05,67246401.0
2021-06-22,3.713e-05,3.825e-05,3.44e-05,3.555e-05,114495885.0
2021-06-23,3.556e-05,3.782e-05,3.482e-05,3.715e-05,55883115.0
2021-06-24,3.715e-05,4.106e-05,3.671e-05,3.924e-05,68199439.0
2021-06-25,3.922e-05,4.13e-05,3.851e-05,3.966e-05,74988938.0
2021-06-26,3.966e-05,4.003e-05,3.875e-05,3.88e-05,32322526.0
2021-06-27,3.879e-05,3.971e-05,3.771e-05,3.856e-05,31693499.0
2021-06-28,3.856e-05,3.897e-05,3.804e-05,3.844e-05,34630229.0
2021-06-29,3.845e-05,3.94e-05,3.793e-05,3.825e-05,37633658.0
2021-06-30,3.824e-05,4.016e-05,3.753e-05,3.953e-05,32342801.0
2021-07-01,3.953e-05,4.023e-05,3.692e-05,3.973e-05,30457700.0
2021-07-02,3.973e-05,4.157e-05,3.907e-05,4.128e-05,37321046.0
2021-07-03,4.128e-05,4.169e-05,4.024e-05,4.052e-05,22969778.0
2021-07-04,4.052e-05,4.166e-05,4.012e-05,4.141e-05,20710013.0
2021-07-05,4.141e-05,4.2e-05,4.109e-05,4.166e-05,32226641.0
2021-07-06,4.167e-05,4.208e-05,4.124e-05,4.137e-05,20779429.0
2021-07-07,4.137e-05,4.158e-05,4.079e-05,4.146e-05,18923481.0
2021-07-08,4.147e-05,4.206e-05,4.037e-05,4.037e-05,28777134.0
2021-07-09,4.037e-05,4.097e-05,3.976e-05,3.994e-05,19838070.0
2021-07-10,3.994e-05,4.004e-05,3.918e-05,3.987e-05,13090483.0
2021-07-11,3.987e-05,4.004e-05,3.921e-05,3.937e-05,9244794.0
2021-07-12,3.936e-05,4.068e-05,3.6e-05,3.967e-05,46928464.0
2021-07-13,3.968e-05,3.98e-05,3.855e-05,3.866e-05,26119261.0
2021-07-14,3.866e-05,3.926e-05,3.76e-05,3.849e-05,32833393.0
2021-07-15,3.849e-05,3.905e-05,3.798e-05,3.847e-05,25146145.0
2021-07-16,3.847e-05,3.889e-05,3.71e-05,3.731e-05,28032563.0
2021-07-17,3.731e-05,3.761e-05,3.67e-05,3.719e-05,22155195.0
2021-07-18,3.719e-05,3.796e-05,3.711e-05,3.717e-05,19768705.0
2021-07-19,3.717e-05,3.748e-05,3.637e-05,3.639e-05,24711428.0
2021-07-20,3.639e-05,3.663e-05,3.439e-05,3.539e-05,83022533.0
2021-07-21,3.539e-05,3.775e-05,3.513e-05,3.642e-05,53039059.0
2021-07-22,3.642e-05,3.71e-05,3.617e-05,3.673e-05,30218454.0
